https://www.philstar.com/headlines/2025/03/30/2432100/duterte-finally-gets-family-visit,Edith Regalado,"March 30, 2025 | 12:00am",Philstar,Duterte finally gets family visit
/2025/3/21/degamo-widow-laments-denial-of-ph-extradition-request-vs-teves,Glazyl Masculino,"Mar 21, 2025 10:04 AM",Manila Bulletin,Degamo widow laments denial   of PH extradition request vs Teves
https://www.philstar.com/nation/2025/03/30/2432120/2-philippines-churches-get-spiritual-bond-italian-basilicas,Daphne Galvez,"March 30, 2025 | 12:00am",Philstar,2 Philippines churches get ‘spiritual bond’ with Italian basilicas
/2025/3/23/pmpc-reveals-partial-list-of-winners-for-38th-star-awards-for-television,Robert Requintina,"Mar 23, 2025 01:25 AM",Manila Bulletin,Winners for 38th PMPC Star Awards for Television  revealed
https://www.manilatimes.net/2025/03/30/news/national/sc-says-clients-must-not-be-punished-for-lawyers-errors/2082673,By Franco Jose C. Baroña,"March 30, 2025",Manila Times,SC says clients must not be punished for lawyers' errors
https://www.philstar.com/nation/2025/03/30/2432122/4-persons-interest-eyed-poll-execs-slay,John Unson,"March 30, 2025 | 12:00am",Philstar,4 persons of interest eyed in poll exec’s slay
/2025/3/22/lto-summons-owner-of-viral-motorcycle-parked-in-antipolo-road,Aaron Recuenco,"Mar 22, 2025 07:39 AM",Manila Bulletin,'Yari ka boy': LTO summons owner of viral motorcycle parked in the middle of Antipolo road
https://www.philstar.com/nation/2025/03/30/2432124/ampatuans-life-sentence-over-ghost-projects-upheld,Elizabeth Marcelo,"March 30, 2025 | 12:00am",Philstar,Ampatuan’s life sentence over ‘ghost’ projects upheld
https://www.manilatimes.net/2025/03/30/news/national/efficient-labor-market-information-system-sought/2082675,By Red Mendoza,"March 30, 2025",Manila Times,Efficient labor market information system sought
/2025/3/23/you-ll-end-up-like-ninoy-aquino-vp-sara-fears-for-father-s-life-if-he-comes-home,Raymund Antonio,"Mar 23, 2025 03:34 PM",Manila Bulletin,"‘You could end up like Ninoy Aquino if you return to PH,' VP Sara warns her father, who continues to yearn to come home"
/2025/3/27/icc-duterte-eyeing-interim-release-needs-consent-for-its-conditions-from-ph,Raymund Antonio,"Mar 27, 2025 02:15 AM",Manila Bulletin,ICC: Duterte eyeing interim release needs consent for its conditions from PH
https://www.philstar.com/nation/2025/03/30/2432126/pnp-honors-fallen-policewoman,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,PNP honors fallen policewoman
https://www.philstar.com/nation/2025/03/30/2432129/76425-dengue-cases-logged-nationwide,Rhodina Villanueva,"March 30, 2025 | 12:00am",Philstar,"76,425 dengue cases logged nationwide"
/2025/3/21/father-nabbed-for-repeatedly-raping-young-daughter-in-marikina,Manila Bulletin,"Mar 21, 2025 05:04 AM",Manila Bulletin,Father nabbed for repeatedly raping young daughter in Marikina
https://www.philstar.com/nation/2025/03/30/2432132/dizon-denies-tanim-bala-back,Richmond Mercurio,"March 30, 2025 | 12:00am",Philstar,Dizon denies tanim-bala is back
/2025/3/25/lead-prosecutor-in-vp-duterte-impeachment-trial-revealed,Ellson Quismorio,"Mar 25, 2025 05:33 AM",Manila Bulletin,Lead prosecutor in VP Duterte impeachment trial revealed
https://www.philstar.com/nation/2025/03/30/2432137/lto-probes-viral-video-drowsy-truck-driver,Christine Boton,"March 30, 2025 | 12:00am",Philstar,LTO probes viral video of drowsy truck driver
https://www.manilatimes.net/2025/03/30/news/national/accredited-language-training-centers-listed/2082677,By Aric John Sy Cua,"March 30, 2025",Manila Times,Accredited language training centers listed
https://www.philstar.com/nation/2025/03/30/2432140/napolcom-commends-cops-protecting-mmda-official,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,Napolcom commends cops for protecting MMDA official
https://www.philstar.com/nation/2025/03/30/2432141/poll-bets-manila-mudslinging-mode,Ghio Ong,"March 30, 2025 | 12:00am",Philstar,Poll bets in Manila in mudslinging mode
https://www.manilatimes.net/2025/03/30/news/national/doh-pushes-early-dengue-detection/2082678,By Allen Limos,"March 30, 2025",Manila Times,DOH pushes early dengue detection
Article_Link,Author,Date_of_Published,Source,Title
https://www.manilatimes.net/2025/03/30/news/national/4ps-still-leading-party-list-survey/2082680,By Catherine S. Valente,"March 30, 2025",Manila Times,4Ps still leading party-list survey
https://www.philstar.com/nation/2025/03/30/2432072/3-die-luzon-road-mishaps,Michelle Zoleta,"March 30, 2025 | 12:00am",Philstar,3 die in Luzon road mishaps
/2025/3/22/china-sponsoring-seminars-for-pro-duterte-vloggers,Ellson Quismorio,"Mar 22, 2025 01:04 AM",Manila Bulletin,"China 'sponsoring' seminars for pro-Duterte vloggers, PCO chief-turned-Marcos critic admits to House"
https://www.philstar.com/other-sections/star-cover/2025/03/30/2432084/star-cover-march-30-2025,,"March 30, 2025 | 12:00am",Philstar,"The STAR Cover (March 30, 2025)"
/2025/3/26/complainant-in-mayor-marcy-s-case-admits-supporting-his-rival,Richielyn Canlas,"Mar 26, 2025 06:19 AM",Manila Bulletin,Complainant in Mayor Marcy’s case admits supporting his rival
https://www.manilatimes.net/2025/03/29/news/philhealth-reminder-members-may-avail-of-emergency-package-without-separate-accreditation/2082552,By Allen Limos,"March 29, 2025",Manila Times,PhilHealth reminder: Members may avail of emergency package without separate accreditation
/2025/3/22/akala-mo-sinong-santo-bato-hits-back-at-castro-asks-if-duterte-s-arrest-made-the-country-better,Dhel Nazario,"Mar 22, 2025 07:55 AM",Manila Bulletin,"'Akala niyo mga santo kayo': Bato hits back at Castro, asks if Duterte's arrest made the country better"
https://www.philstar.com/headlines/2025/03/30/2432085/go-commemorates-duterte-birthday-visiting-children-battling-cancer,,"March 30, 2025 | 12:00am",Philstar,Go commemorates Duterte birthday by visiting children battling cancer
/2025/3/21/degamo-widow-laments-denial-of-ph-extradition-request-vs-teves,Glazyl Masculino,"Mar 21, 2025 10:04 AM",Manila Bulletin,Degamo widow laments denial   of PH extradition request vs Teves
https://www.philstar.com/headlines/2025/03/30/2432086/art-exhibit-features-works-sex-abuse-survivors,Daphne Galvez,"March 30, 2025 | 12:00am",Philstar,Art exhibit features works by sex abuse survivors
/2025/3/23/pmpc-reveals-partial-list-of-winners-for-38th-star-awards-for-television,Robert Requintina,"Mar 23, 2025 01:25 AM",Manila Bulletin,Winners for 38th PMPC Star Awards for Television  revealed
https://www.philstar.com/headlines/2025/03/30/2432087/sc-clients-should-not-suffer-their-lawyers-negligence,Daphne Galvez,"March 30, 2025 | 12:00am",Philstar,SC: Clients should not suffer for their lawyer’s negligence
/2025/3/22/lto-summons-owner-of-viral-motorcycle-parked-in-antipolo-road,Aaron Recuenco,"Mar 22, 2025 07:39 AM",Manila Bulletin,'Yari ka boy': LTO summons owner of viral motorcycle parked in the middle of Antipolo road
https://www.philstar.com/headlines/2025/03/30/2432089/cicc-judiciarys-visit-boost-fight-vs-cybercrime,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,CICC: Judiciary’s visit to boost fight vs cybercrime
/2025/3/23/you-ll-end-up-like-ninoy-aquino-vp-sara-fears-for-father-s-life-if-he-comes-home,Raymund Antonio,"Mar 23, 2025 03:34 PM",Manila Bulletin,"‘You could end up like Ninoy Aquino if you return to PH,' VP Sara warns her father, who continues to yearn to come home"
/2025/3/27/icc-duterte-eyeing-interim-release-needs-consent-for-its-conditions-from-ph,Raymund Antonio,"Mar 27, 2025 02:15 AM",Manila Bulletin,ICC: Duterte eyeing interim release needs consent for its conditions from PH
https://www.philstar.com/headlines/2025/03/30/2432091/17-ofws-still-qatar-jail,Michael Punongbayan,"March 30, 2025 | 12:00am",Philstar,17 OFWs still in Qatar jail
https://www.philstar.com/headlines/2025/03/30/2432093/us-japan-philippines-stage-navy-drills,Michael Punongbayan,"March 30, 2025 | 12:00am",Philstar,"US, Japan, Philippines stage navy drills"
/2025/3/21/father-nabbed-for-repeatedly-raping-young-daughter-in-marikina,Manila Bulletin,"Mar 21, 2025 05:04 AM",Manila Bulletin,Father nabbed for repeatedly raping young daughter in Marikina
/2025/3/25/lead-prosecutor-in-vp-duterte-impeachment-trial-revealed,Ellson Quismorio,"Mar 25, 2025 05:33 AM",Manila Bulletin,Lead prosecutor in VP Duterte impeachment trial revealed
https://www.manilatimes.net/2025/03/29/news/watch-ph-japan-us-hold-maritime-drills-in-west-philippine-sea/2082578,,"March 29, 2025",Manila Times,"WATCH: PH, Japan, US hold maritime drills in West Philippine Sea"
https://www.philstar.com/headlines/2025/03/30/2432098/mmda-campaign-motorcades-banned-metro-manila-highways,Ghio Ong,"March 30, 2025 | 12:00am",Philstar,MMDA: Campaign motorcades banned on Metro Manila highways
/2025/3/26/icc-to-probe-duterte-s-wealth-if-he-s-qualified-for-legal-aid,Raymund Antonio,"Mar 26, 2025 01:11 AM",Manila Bulletin,ICC to probe Duterte’s wealth if he’s qualified for legal aid
https://www.philstar.com/headlines/2025/03/30/2432100/duterte-finally-gets-family-visit,Edith Regalado,"March 30, 2025 | 12:00am",Philstar,Duterte finally gets family visit
https://www.philstar.com/nation/2025/03/30/2432120/2-philippines-churches-get-spiritual-bond-italian-basilicas,Daphne Galvez,"March 30, 2025 | 12:00am",Philstar,2 Philippines churches get ‘spiritual bond’ with Italian basilicas
/2025/3/24/prosecution-defense-in-duterte-s-icc-case-to-begin-pre-disclosure-process-in-april,Raymund Antonio,"Mar 24, 2025 01:32 AM",Manila Bulletin,"Prosecution, defense in Duterte’s ICC case to begin evidence disclosure in April"
https://www.manilatimes.net/2025/03/29/news/17-filipinos-arrested-in-qatar-for-joining-illegal-political-rally-supporting-duterte/2082698,By Philippine News Agency,"March 29, 2025",Manila Times,17 Filipinos arrested in Qatar for joining illegal political rally supporting Duterte
https://www.philstar.com/nation/2025/03/30/2432122/4-persons-interest-eyed-poll-execs-slay,John Unson,"March 30, 2025 | 12:00am",Philstar,4 persons of interest eyed in poll exec’s slay
/2025/1/10/kode-go-offers-flexible-training-to-boost-digital-skills,Jonathan Castillo,"Jan 10, 2025 08:22 AM",Manila Bulletin,KodeGo offers flexible training to boost digital skills
https://www.philstar.com/nation/2025/03/30/2432124/ampatuans-life-sentence-over-ghost-projects-upheld,Elizabeth Marcelo,"March 30, 2025 | 12:00am",Philstar,Ampatuan’s life sentence over ‘ghost’ projects upheld
/2025/3/21/torre-shoots-down-rumored-mass-resignation-of-cops-after-duterte-arrest,Ellson Quismorio,"Mar 21, 2025 06:47 AM",Manila Bulletin,Torre shoots down rumored mass resignation of cops after Duterte arrest
https://www.philstar.com/nation/2025/03/30/2432126/pnp-honors-fallen-policewoman,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,PNP honors fallen policewoman
https://www.manilatimes.net/2025/03/29/news/no-winner-in-lotto-draws-for-march-29/2082699,By Andrea Gail Mingo,"March 29, 2025",Manila Times,No winner in lotto draws for March 29
https://www.manilatimes.net/2025/03/30/news/national/petition-vs-akap-gains-more-support/2082664,By Franco Jose C. Baroña,"March 30, 2025",Manila Times,Petition vs Akap gains more support
https://www.philstar.com/nation/2025/03/30/2432129/76425-dengue-cases-logged-nationwide,Rhodina Villanueva,"March 30, 2025 | 12:00am",Philstar,"76,425 dengue cases logged nationwide"
https://www.manilatimes.net/2025/03/30/news/national/42-beneficiaries-in-cavite-get-wheelchairs-from-red-cross/2082670,By Allen Limos,"March 30, 2025",Manila Times,42 beneficiaries in Cavite get wheelchairs from Red Cross
https://www.philstar.com/nation/2025/03/30/2432132/dizon-denies-tanim-bala-back,Richmond Mercurio,"March 30, 2025 | 12:00am",Philstar,Dizon denies tanim-bala is back
https://www.manilatimes.net/2025/03/30/news/national/painter-juvenal-sans-passes-away-at-95/2082671,By Aric John Sy Cua,"March 30, 2025",Manila Times,Painter Juvenal Sansó passes away at 95
https://www.philstar.com/nation/2025/03/30/2432137/lto-probes-viral-video-drowsy-truck-driver,Christine Boton,"March 30, 2025 | 12:00am",Philstar,LTO probes viral video of drowsy truck driver
https://www.philstar.com/nation/2025/03/30/2432140/napolcom-commends-cops-protecting-mmda-official,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,Napolcom commends cops for protecting MMDA official
https://www.manilatimes.net/2025/03/30/news/national/sc-says-clients-must-not-be-punished-for-lawyers-errors/2082673,By Franco Jose C. Baroña,"March 30, 2025",Manila Times,SC says clients must not be punished for lawyers' errors
https://www.manilatimes.net/2025/03/30/news/national/efficient-labor-market-information-system-sought/2082675,By Red Mendoza,"March 30, 2025",Manila Times,Efficient labor market information system sought
https://www.manilatimes.net/2025/03/30/news/national/liver-transplant-advocacy-relaunched/2082676,By Allen Limos,"March 30, 2025",Manila Times,Liver transplant advocacy relaunched
https://www.manilatimes.net/2025/03/30/news/national/accredited-language-training-centers-listed/2082677,By Aric John Sy Cua,"March 30, 2025",Manila Times,Accredited language training centers listed
https://www.manilatimes.net/2025/03/30/news/national/doh-pushes-early-dengue-detection/2082678,By Allen Limos,"March 30, 2025",Manila Times,DOH pushes early dengue detection
Article_Link,Author,Date_of_Published,Source,Title
https://www.philstar.com/nation/2025/03/30/2432072/3-die-luzon-road-mishaps,Michelle Zoleta,"March 30, 2025 | 12:00am",Philstar,3 die in Luzon road mishaps
https://www.manilatimes.net/2025/03/30/news/national/4ps-still-leading-party-list-survey/2082680,By Catherine S. Valente,"March 30, 2025",Manila Times,4Ps still leading party-list survey
/2025/3/25/lead-prosecutor-in-vp-duterte-impeachment-trial-revealed,Ellson Quismorio,"Mar 25, 2025 05:33 AM",Manila Bulletin,Lead prosecutor in VP Duterte impeachment trial revealed
https://www.manilatimes.net/2025/03/29/news/ph-emergency-teams-on-standby-to-help-quake-victims-in-thailand-myanmar-says-health-chief/2082551,By Allen Limos,"March 29, 2025",Manila Times,"PH emergency teams on standby to help quake victims in Thailand, Myanmar, says Health chief"
https://www.manilatimes.net/2025/03/29/news/philhealth-reminder-members-may-avail-of-emergency-package-without-separate-accreditation/2082552,By Allen Limos,"March 29, 2025",Manila Times,PhilHealth reminder: Members may avail of emergency package without separate accreditation
/2025/3/22/china-sponsoring-seminars-for-pro-duterte-vloggers,Ellson Quismorio,"Mar 22, 2025 01:04 AM",Manila Bulletin,"China 'sponsoring' seminars for pro-Duterte vloggers, PCO chief-turned-Marcos critic admits to House"
https://www.philstar.com/other-sections/star-cover/2025/03/30/2432084/star-cover-march-30-2025,,"March 30, 2025 | 12:00am",Philstar,"The STAR Cover (March 30, 2025)"
/2025/3/26/complainant-in-mayor-marcy-s-case-admits-supporting-his-rival,Richielyn Canlas,"Mar 26, 2025 06:19 AM",Manila Bulletin,Complainant in Mayor Marcy’s case admits supporting his rival
https://www.philstar.com/headlines/2025/03/30/2432085/go-commemorates-duterte-birthday-visiting-children-battling-cancer,,"March 30, 2025 | 12:00am",Philstar,Go commemorates Duterte birthday by visiting children battling cancer
/2025/3/22/akala-mo-sinong-santo-bato-hits-back-at-castro-asks-if-duterte-s-arrest-made-the-country-better,Dhel Nazario,"Mar 22, 2025 07:55 AM",Manila Bulletin,"'Akala niyo mga santo kayo': Bato hits back at Castro, asks if Duterte's arrest made the country better"
https://www.philstar.com/headlines/2025/03/30/2432086/art-exhibit-features-works-sex-abuse-survivors,Daphne Galvez,"March 30, 2025 | 12:00am",Philstar,Art exhibit features works by sex abuse survivors
/2025/3/21/degamo-widow-laments-denial-of-ph-extradition-request-vs-teves,Glazyl Masculino,"Mar 21, 2025 10:04 AM",Manila Bulletin,Degamo widow laments denial   of PH extradition request vs Teves
https://www.philstar.com/headlines/2025/03/30/2432087/sc-clients-should-not-suffer-their-lawyers-negligence,Daphne Galvez,"March 30, 2025 | 12:00am",Philstar,SC: Clients should not suffer for their lawyer’s negligence
/2025/3/23/pmpc-reveals-partial-list-of-winners-for-38th-star-awards-for-television,Robert Requintina,"Mar 23, 2025 01:25 AM",Manila Bulletin,Winners for 38th PMPC Star Awards for Television  revealed
https://www.philstar.com/headlines/2025/03/30/2432089/cicc-judiciarys-visit-boost-fight-vs-cybercrime,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,CICC: Judiciary’s visit to boost fight vs cybercrime
/2025/3/22/lto-summons-owner-of-viral-motorcycle-parked-in-antipolo-road,Aaron Recuenco,"Mar 22, 2025 07:39 AM",Manila Bulletin,'Yari ka boy': LTO summons owner of viral motorcycle parked in the middle of Antipolo road
https://www.philstar.com/headlines/2025/03/30/2432091/17-ofws-still-qatar-jail,Michael Punongbayan,"March 30, 2025 | 12:00am",Philstar,17 OFWs still in Qatar jail
/2025/3/23/you-ll-end-up-like-ninoy-aquino-vp-sara-fears-for-father-s-life-if-he-comes-home,Raymund Antonio,"Mar 23, 2025 03:34 PM",Manila Bulletin,"‘You could end up like Ninoy Aquino if you return to PH,' VP Sara warns her father, who continues to yearn to come home"
/2025/3/27/icc-duterte-eyeing-interim-release-needs-consent-for-its-conditions-from-ph,Raymund Antonio,"Mar 27, 2025 02:15 AM",Manila Bulletin,ICC: Duterte eyeing interim release needs consent for its conditions from PH
https://www.philstar.com/headlines/2025/03/30/2432093/us-japan-philippines-stage-navy-drills,Michael Punongbayan,"March 30, 2025 | 12:00am",Philstar,"US, Japan, Philippines stage navy drills"
/2025/3/21/father-nabbed-for-repeatedly-raping-young-daughter-in-marikina,Manila Bulletin,"Mar 21, 2025 05:04 AM",Manila Bulletin,Father nabbed for repeatedly raping young daughter in Marikina
https://www.philstar.com/headlines/2025/03/30/2432095/pnp-warns-bets-vs-vote-buying,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,PNP warns bets vs vote buying
https://www.manilatimes.net/2025/03/29/news/watch-ph-japan-us-hold-maritime-drills-in-west-philippine-sea/2082578,,"March 29, 2025",Manila Times,"WATCH: PH, Japan, US hold maritime drills in West Philippine Sea"
/2025/3/26/icc-to-probe-duterte-s-wealth-if-he-s-qualified-for-legal-aid,Raymund Antonio,"Mar 26, 2025 01:11 AM",Manila Bulletin,ICC to probe Duterte’s wealth if he’s qualified for legal aid
/2025/3/24/prosecution-defense-in-duterte-s-icc-case-to-begin-pre-disclosure-process-in-april,Raymund Antonio,"Mar 24, 2025 01:32 AM",Manila Bulletin,"Prosecution, defense in Duterte’s ICC case to begin evidence disclosure in April"
https://www.manilatimes.net/2025/03/29/news/17-filipinos-arrested-in-qatar-for-joining-illegal-political-rally-supporting-duterte/2082698,By Philippine News Agency,"March 29, 2025",Manila Times,17 Filipinos arrested in Qatar for joining illegal political rally supporting Duterte
/2025/1/10/kode-go-offers-flexible-training-to-boost-digital-skills,Jonathan Castillo,"Jan 10, 2025 08:22 AM",Manila Bulletin,KodeGo offers flexible training to boost digital skills
https://www.philstar.com/headlines/2025/03/30/2432100/duterte-finally-gets-family-visit,Edith Regalado,"March 30, 2025 | 12:00am",Philstar,Duterte finally gets family visit
https://www.philstar.com/nation/2025/03/30/2432120/2-philippines-churches-get-spiritual-bond-italian-basilicas,Daphne Galvez,"March 30, 2025 | 12:00am",Philstar,2 Philippines churches get ‘spiritual bond’ with Italian basilicas
/2025/3/21/torre-shoots-down-rumored-mass-resignation-of-cops-after-duterte-arrest,Ellson Quismorio,"Mar 21, 2025 06:47 AM",Manila Bulletin,Torre shoots down rumored mass resignation of cops after Duterte arrest
https://www.philstar.com/nation/2025/03/30/2432122/4-persons-interest-eyed-poll-execs-slay,John Unson,"March 30, 2025 | 12:00am",Philstar,4 persons of interest eyed in poll exec’s slay
https://www.manilatimes.net/2025/03/29/news/no-winner-in-lotto-draws-for-march-29/2082699,By Andrea Gail Mingo,"March 29, 2025",Manila Times,No winner in lotto draws for March 29
https://www.philstar.com/nation/2025/03/30/2432124/ampatuans-life-sentence-over-ghost-projects-upheld,Elizabeth Marcelo,"March 30, 2025 | 12:00am",Philstar,Ampatuan’s life sentence over ‘ghost’ projects upheld
https://www.manilatimes.net/2025/03/30/news/national/petition-vs-akap-gains-more-support/2082664,By Franco Jose C. Baroña,"March 30, 2025",Manila Times,Petition vs Akap gains more support
https://www.philstar.com/nation/2025/03/30/2432126/pnp-honors-fallen-policewoman,Emmanuel Tupas,"March 30, 2025 | 12:00am",Philstar,PNP honors fallen policewoman
https://www.philstar.com/nation/2025/03/30/2432129/76425-dengue-cases-logged-nationwide,Rhodina Villanueva,"March 30, 2025 | 12:00am",Philstar,"76,425 dengue cases logged nationwide"
https://www.manilatimes.net/2025/03/30/news/national/painter-juvenal-sans-passes-away-at-95/2082671,By Aric John Sy Cua,"March 30, 2025",Manila Times,Painter Juvenal Sansó passes away at 95
https://www.philstar.com/nation/2025/03/30/2432132/dizon-denies-tanim-bala-back,Richmond Mercurio,"March 30, 2025 | 12:00am",Philstar,Dizon denies tanim-bala is back
https://www.philstar.com/nation/2025/03/30/2432137/lto-probes-viral-video-drowsy-truck-driver,Christine Boton,"March 30, 2025 | 12:00am",Philstar,LTO probes viral video of drowsy truck driver
https://www.manilatimes.net/2025/03/30/news/national/sc-says-clients-must-not-be-punished-for-lawyers-errors/2082673,By Franco Jose C. Baroña,"March 30, 2025",Manila Times,SC says clients must not be punished for lawyers' errors
https://www.philstar.com/nation/2025/03/30/2432141/poll-bets-manila-mudslinging-mode,Ghio Ong,"March 30, 2025 | 12:00am",Philstar,Poll bets in Manila in mudslinging mode
https://www.manilatimes.net/2025/03/30/news/national/efficient-labor-market-information-system-sought/2082675,By Red Mendoza,"March 30, 2025",Manila Times,Efficient labor market information system sought
https://www.manilatimes.net/2025/03/30/news/national/liver-transplant-advocacy-relaunched/2082676,By Allen Limos,"March 30, 2025",Manila Times,Liver transplant advocacy relaunched
https://www.manilatimes.net/2025/03/30/news/national/accredited-language-training-centers-listed/2082677,By Aric John Sy Cua,"March 30, 2025",Manila Times,Accredited language training centers listed
https://www.manilatimes.net/2025/03/30/news/national/doh-pushes-early-dengue-detection/2082678,By Allen Limos,"March 30, 2025",Manila Times,DOH pushes early dengue detection
